"properties/brand","properties/addr:street","properties/addr:state","properties/sport","properties/website","properties/name:de","properties/opening_hours"
"","Broadway","NJ","","https://www.facebook.com/pages/Broadway-Fitness/116141645076742",,""
"Life Time","Church Road","NJ","multi","",,""
"","Mill Road","PA","","https://retrofitness.com/location/oakspa/",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"","East Main Street","NJ","yoga","",,""
"Planet Fitness","","","","",,""
"LA Fitness","","","","https://www.lafitness.com/",,""
"Anytime Fitness","","","","",,"Mo-Th 10:00-19:00; Fr 10:00-17:00; Sa 10:00-14:00"
"","","","","",,""
"","","","gymnastics;trampoline","",,""
"","","","","",,""
"","South Easton Road","PA","exercise","",,""
"Retro Fitness","Blair Mill Road","PA","","https://retrofitness.com/location/horshampa/",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa-Su 07:00-19:00"
"Orangetheory Fitness","Bethlehem Pike","PA","","",,""
"Orangetheory Fitness","Park Avenue","PA","","",,""
"","West Hunting Park Avenue","PA","","",,""
"","Victoria Street","NJ","fitness;athletics;weightlifting;cardio","",,""
"Retro Fitness","Highway 33","NJ","","https://retrofitness.com/location/hamiltonnj/",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa 07:00-18:00;Su 07:00-17:00"
"Retro Fitness","Spring Garden Street","PA","","https://retrofitness.com/location/philadelphiapaspringgardenst/",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"Retro Fitness","Welsh Road","PA","","https://www.retrofitness.com/location/northwalespa",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa-Su 07:00-19:00"
"Retro Fitness","Welsh Road","PA","","https://retrofitness.com/location/nephiladelphia",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"","New Falls Road","PA","","https://www.retrofitness.com/location/levittownpa",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"Retro Fitness","Chews Landing Road","NJ","","https://retrofitness.com/location/gloucestertwpnj/",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"Retro Fitness","North Delsea Drive","NJ","","https://www.retrofitness.com/location/glassboronj",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa 07:00-18:00;Su 07:00-17:00"
"Retro Fitness","Macdade Boulevard","PA","","https://www.retrofitness.com/location/holmespa",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa-Su 07:00-19:00"
"Retro Fitness","Lincoln Highway","PA","","https://www.retrofitness.com/location/fairlesshillspa",,"Mo-Fr 05:00-23:00;Sa-Su 07:00-19:00"
"Retro Fitness","East Germantown Pike","PA","","https://www.retrofitness.com/location/eastnorritonpa",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa-Su 07:00-19:00"
"Retro Fitness","Pennell Road","PA","","https://www.retrofitness.com/location/astonpa",,"Mo-Fr 04:00-24:00;Sa 06:00-19:00;Su 07:00-19:00"
"Retro Fitness","Brace Road","NJ","","https://www.retrofitness.com/location/cherryhillnj",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa-Su 07:00-18:00"
"Retro Fitness","Us Highway 206","NJ","","https://www.retrofitness.com/location/bordentownnj",,"Mo-Th 05:00-23:00;Fr 05:00-22:00;Sa 06:00-19:00;Su 07:00-19:00"
"","West Camden Avenue","NJ","","https://retrofitness.com/location/moorestownnj",,"Mo-Th 05:00-24:00;Fr 05:00-22:00;Sa-Su 06:00-18:00"
"Retro Fitness","Kirkwood Highway","DE","","https://www.retrofitness.com/location/wilmingtonde",,"Mo-Th 05:00-23:00; Fr 05:00-22:00; Sa 07:00-18:00; Su 07:00-17:00"
"","","","","",,""
"","Naamans Road","DE","swimming;fitness","",,""
"","York Road","PA","","",,""
"","Edgemont Avenue","PA","boxing","",,""
"","East 5th Street","PA","wrestling","",,""
"","","","","",,""
"Anytime Fitness","West County Line Road","PA","","",,"24/7"
"","Main Street","PA","","https://www.themaxchallenge.com/locations/warrington-pa/",,"Mo-Fr 05:00-20:00"
"Planet Fitness","","","","",,""
"","Main Street","PA","","https://centralbucks.fit4mom.com/",,"Mo-Fr 10:00-15:00 || Mo-Sa ""By appointment"""
"World Gym","","","","",,""
"Planet Fitness","","","","",,""
"","","","weightlifting;crossfit","",,""
"","","","weightlifting;crossfit","",,""
"","Wilmington Pike","PA","","http://www.qfitness.com",,""
"","","","","",,""
"Planet Fitness","","","","",,""
"","","","","",,""
"","Old York Road","PA","jiu_jitsu","http://bjjunited.com",,""
"Planet Fitness","","","","",,"24/7"
"","","","","",,""
"","","","","",,""
"","","","dance","",,""
"","Lancaster Ave","PA","fitness","",,""
"Planet Fitness","","","","",,""
"Planet Fitness","","","","",,""
"","","","","",,""
"","","","","",,""
"Orangetheory Fitness","","","","",,""
"","","","","",,""
"","","","yoga","",,""
"","","","","",,""
"LA Fitness","","","","",,""
"Planet Fitness","Farrand Drive","DE","","",,""
"","","","","",,""
"Club Pilates","South Easton Road","PA","pilates","https://www.clubpilates.com/doylestown/",,"Mo-Th 06:00-20:00; Fr 06:00-16:00; Sa,Su 08:00-14:00"
"","Easton Road","PA","gymnastics","https://www.thelittlegym.com/doylestownpa",,""
"","Easton Road","PA","boxing","https://www.ckokickboxing.com/pa-warrington-doylestown/",,""
"Orangetheory Fitness","Easton Road","PA","fitness","https://doylestown.orangetheoryfitness.com",,""
"","","","cycling","",,""
"","","","climbing","",,""
"","","","","",,""
"Anytime Fitness","","","","",,""
"","Justison Street","","","",,"Mo-Fr 00:00-24:00"
"","","","","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"Snap Fitness","","","","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"Planet Fitness","","","","",,""
"","","","","",,""
"Planet Fitness","Street Road","PA","","https://www.planetfitness.com/gyms/bensalem-pa",,"Mo-Th 00:00-24:00; Fr 00:00-21:00; Sa,Su 07:00-19:00"
"","","","","",,""
"Anytime Fitness","","","","",,""
"","Spring Garden Street","PA","","https://cityfitnessphilly.com/",,"Mo-Th 05:00-01:00"
"","West Chester Pike","PA","fitness","https://ellisathleticcenter.com",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"","","","","",,""
"Planet Fitness","","","","",,""
"","","","","",,""
"Planet Fitness","","","","",,""
"","","","","https://fitnessworksphiladelphia.com/",,""
"","405 Newtown Richboro Rd","","","https://www.northamptontennisandfitnesscenter.com",,"Sa-Su 08:00-20:00; Mo, We 06:00-23:00; Tu, Th 07:00-23:00; Fr 06:00-21:00"
"","","","boxing","",,""
"Anytime Fitness","West Schuylkill Road","PA","","",,""
"","Glocker Way","PA","","",,""
"Planet Fitness","","","","",,""
"Retro Fitness","","","","",,""
"","West Schuylkill Road","PA","","",,""
"","South 20th Street","PA","barre;yoga","",,""
"Planet Fitness","Bridgeton Pike","NJ","","https://www.planetfitness.com/gyms/mantua-nj",,"24/7"
"Planet Fitness","","","","",,""
"","Frankford Avenue","PA","yoga","https://www.union.fit/orgs/amrita-yoga-wellness",,""
"Orangetheory Fitness","","","","",,""
"","","","","",,""
"","","","","",,""
"Orangetheory Fitness","","","","",,""
"","","","","",,""
"CorePower Yoga","","","yoga","",,""
"","Chancellor Street","PA","kettlebells;fitness;strength;martial_arts","https://8limbsacademy.com",,""
"","North 2nd Street","PA","lifting;strength;fitness","https://www.warhorsebarbellclub.com",,""
"Orangetheory Fitness","","","","",,""
"","State Street","PA","","",,""
"Planet Fitness","","","","",,""
"Orangetheory Fitness","","","","",,""
"Orangetheory Fitness","Egg Harbor Road","NJ","","",,""
"Planet Fitness","Egg Harbor Road","NJ","","www.planetfitness.com",,""
"","North Broadway","NJ","","http://jerseyfitnesscenter.net/",,"Mo-Th 05:00-22:00; Fr 05:00-21:30; Sa 07:00-19:00; Su 08:00-19:00"
"LA Fitness","West Cheltenham Avenue","PA","","",,""
"","","","","",,""
"Planet Fitness","South Easton Road","PA","","",,""
"","North 2nd Street","PA","","https://fortitudefitness.info/",,""
"","","","","",,""
"Planet Fitness","","","","https://www.planetfitness.com/",,""
"Crunch Fitness","","","","",,""
"Planet Fitness","West Street Road","PA","","",,""
"","East Main Street","","","http://www.northpennymca.org/our-locations/lansdale-area-family-ymca/",,"Mo-Th 05:00-21:00; Fr 05:00-19:00; Sa 08:00-16:00; Su 08:00-14:00"
"","West Main Street","PA","","http://www.crossfitlansdale.com/",,"Mo-Fr 06:00-19:00; Sa 09:00-12:00; Su 11:00-13:00"
